day,x,y,z
0,-1.471858391663588E11,-2.860995816266412E10,8278183.19359608
1,-1.7882948188418588E11,-3.347066835155027E10,8335456.720981588
2,-2.104435910246599E11,-3.8325652550887535E10,8392449.216568409
3,-2.4203632714168558E11,-4.31766232141122E10,8449265.609518792
4,-2.7361288017953482E11,-4.802462790859263E10,8505963.737654978
5,-3.051767548359108E11,-5.287035297157264E10,8562578.209316013
6,-3.3673042868139856E11,-5.77142719962163E10,8619131.0535949
7,-3.682757176992917E11,-6.2556725301021904E10,8675636.989872126
8,-3.998139925437442E11,-6.7397965535557396E10,8732106.247535309
9,-4.3134631313032794E11,-7.223818535088777E10,8788546.170999138
10,-4.628735159608773E11,-7.707753496921628E10,8844962.180383721
11,-4.9439627279039575E11,-8.191613377042531E10,8901358.37107127
12,-5.259151312250624E11,-8.675407818160591E10,8957737.901372122
13,-5.574305435411405E11,-9.159144719864778E10,9014103.250926869
14,-5.889428876005847E11,-9.64283063435669E10,9070456.397563983
15,-6.204524823288073E11,-1.0126471056033447E11,9126798.941193044
16,-6.519595993671965E11,-1.0610070637318495E11,9183132.192402735
17,-6.83464471981379E11,-1.1093633352169162E11,9239457.236996798
18,-7.149673019658722E11,-1.1577162621766525E11,9295774.983788988
19,-7.464682650626168E11,-1.2060661412411884E11,9352086.20053539
20,-7.779675152613854E11,-1.2544132312687221E11,9408391.541320464
21,-8.094651882479689E11,-1.3027577594932538E11,9464691.567692392
22,-8.409614041950842E11,-1.3510999264713286E11,9520986.765163166
23,-8.72456270040831E11,-1.399439910098572E11,9577277.556227386
24,-9.03949881363615E11,-1.447777868898189E11,9633564.310735665
25,-9.354423239363704E11,-1.4961139447341507E11,9689847.354235854
26,-9.669336750237346E11,-1.5444482650657007E11,9746126.974737315
27,-9.984240044715588E11,-1.5927809448331418E11,9802403.42823993
28,-1.029913375627413E12,-1.6411120880449362E11,9858676.943286937
29,-1.0614018461226014E12,-1.689441789121124E11,9914947.724739922
30,-1.0928894685399628E12,-1.737770134036597E11,9971215.956929259
31,-1.124376290986905E12,-1.7860972012989615E11,1.0027481806299334E7
32,-1.1558623575893699E12,-1.8344230627888895E11,1.008374542364232E7
33,-1.1873477089194675E12,-1.88274778448552E11,1.0140006945994698E7
34,-1.218832382367193E12,-1.93107142709527E11,1.0196266498255594E7
35,-1.2503164124647742E12,-1.979394046599084E11,1.0252524194574393E7
36,-1.2817998311707156E12,-2.0277156947304922E11,1.0308780139545893E7
37,-1.313282668119404E12,-2.0760364193947174E11,1.0365034429244095E7
38,-1.3447649508411672E12,-2.124356265037333E11,1.0421287152120052E7
39,-1.376246704956886E12,-2.1726752729695972E11,1.0477538389784632E7
40,-1.4077279543506118E12,-2.2209934816564236E11,1.0533788217693448E7
41,-1.4392087213231077E12,-2.2693109269720248E11,1.059003670574824E7
42,-1.4706890267287854E12,-2.3176276424274866E11,1.0646283918826656E7
43,-1.5021688900981519E12,-2.3659436593738904E11,1.0702529917250412E7
44,-1.5336483297475632E12,-2.4142590071840726E11,1.0758774757200234E7
45,-1.565127362877836E12,-2.4625737134156567E11,1.0815018491084686E7
46,-1.5966060056630447E12,-2.51088780395763E11,1.08712611678689E7
47,-1.6280842733306558E12,-2.5592013031624197E11,1.0927502833368318E7
48,-1.6595621802339917E12,-2.6075142339651514E11,1.0983743530511843E7
49,-1.6910397399178916E12,-2.655826617991558E11,1.1039983299578125E7
50,-1.7225169651783198E12,-2.7041384756558112E11,1.1096222178408219E7
51,-1.7539938681165786E12,-2.752449826249382E11,1.1152460202597393E7
52,-1.7854704601887026E12,-2.800760688021898E11,1.1208697405668488E7
53,-1.8169467522505398E12,-2.8490710782548566E11,1.1264933819228914E7
54,-1.8484227545989614E12,-2.897381013328924E11,1.1321169473113103E7
55,-1.8798984770095955E12,-2.945690508785488E11,1.1377404395512002E7
56,-1.9113739287714285E12,-2.993999579383046E11,1.1433638613091001E7
57,-1.9428491187185818E12,-3.0423082391489264E11,1.1489872151097491E7
58,-1.974324055259537E12,-3.090616501426816E11,1.154610503345915E7
59,-2.0057987464040505E12,-3.138924378920482E11,1.1602337282873875E7
60,-2.0372731997879734E12,-3.187231883734056E11,1.165856892089222E7
61,-2.0687474226961697E12,-3.235539027409192E11,1.1714799967993055E7
62,-2.1002214220837053E12,-3.283845820959399E11,1.1771030443653103E7
63,-2.1316952045954607E12,-3.332152274901782E11,1.1827260366410956E7
64,-2.1631687765843083E12,-3.380458399286442E11,1.1883489753926072E7
65,-2.194642144127977E12,-3.4287642037237274E11,1.1939718623033216E7
66,-2.226115313044715E12,-3.4770696974095245E11,1.1995946989792772E7
67,-2.257588288907856E12,-3.52537488914876E11,1.2052174869537277E7
68,-2.2890610770593755E12,-3.573679787377255E11,1.2108402276914531E7
69,-2.320533682622523E12,-3.621984400182079E11,1.2164629225927573E7
70,-2.3520061105136025E12,-3.670288735320512E11,1.222085572997178E7
71,-2.383478365452972E12,-3.7185928002377454E11,1.227708180186935E7
72,-2.4149504519753203E12,-3.766896602083399E11,1.2333307453901386E7
73,-2.4464223744392793E12,-3.81520014772697E11,1.2389532697837759E7
74,-2.4778941370364224E12,-3.863503443772278E11,1.244575754496496E7
75,-2.5093657437996934E12,-3.9118064965709937E11,1.2501982006112074E7
76,-2.540837198611314E12,-3.9601093122353186E11,1.2558206091675047E7
77,-2.5723085052102007E12,-4.008411896649876E11,1.2614429811639363E7
78,-2.603779667198934E12,-4.05671425548287E11,1.2670653175601268E7
79,-2.635250688050307E12,-4.105016394196573E11,1.2726876192787636E7
80,-2.6667215711134873E12,-4.153318318057185E11,1.2783098872074591E7
81,-2.698192319619815E12,-4.201620032144107E11,1.2839321222004974E7
82,-2.729662936688266E12,-4.249921541358675E11,1.2895543250804743E7
83,-2.7611334253306055E12,-4.298222850432388E11,1.2951764966398368E7
84,-2.7926037884562417E12,-4.346523963934666E11,1.3007986376423318E7
85,-2.8240740288768164E12,-4.3948248862801733E11,1.3064207488243686E7
86,-2.855544149310534E12,-4.443125621735727E11,1.3120428308963018E7
87,-2.88701415238626E12,-4.4914261744268274E11,1.3176648845436392E7
88,-2.918484040647389E12,-4.5397265483438336E11,1.323286910428183E7
89,-2.949953816555517E12,-4.5880267473478015E11,1.3289089091891034E7
90,-2.9814234824939067E12,-4.636326775176013E11,1.3345308814439548E7
91,-3.0128930407707773E12,-4.6846266354472107E11,1.3401528277896348E7
92,-3.044362493622426E12,-4.732926331666559E11,1.3457747488032902E7
93,-3.07583184321618E12,-4.7812258672303485E11,1.3513966450431751E7
94,-3.1073010916532104E12,-4.829525245430461E11,1.3570185170494625E7
95,-3.138770240971192E12,-4.877824469458606E11,1.3626403653450131E7
96,-3.1702392931468394E12,-4.9261235424103436E11,1.3682621904361036E7
97,-3.201708250098314E12,-4.974422467288911E11,1.373883992813117E7
98,-3.2331771136875146E12,-5.022721247008857E11,1.3795057729511986E7
99,-3.2646458857222563E12,-5.0710198843994977E11,1.3851275313108772E7
100,-3.2961145679583447E12,-5.119318382208215E11,1.3907492683386559E7
101,-3.3275831621015522E12,-5.1676167431035834E11,1.396370984467573E7
102,-3.359051669809503E12,-5.215914969678362E11,1.4019926801177366E7
103,-3.3905200926934653E12,-5.264213064452335E11,1.4076143556968302E7
104,-3.4219884323200664E12,-5.312511029875029E11,1.4132360116005965E7
105,-3.453456690212926E12,-5.3608088683282996E11,1.4188576482132975E7
106,-3.4849248678542153E12,-5.4091065821288E11,1.4244792659081519E7
107,-3.5163929666861494E12,-5.457404173530343E11,1.4301008650477521E7
108,-3.547860988112407E12,-5.505701644726152E11,1.4357224459844626E7
109,-3.579328933499496E12,-5.553998997851014E11,1.4413440090607991E7
110,-3.61079680417805E12,-5.602296234983337E11,1.4469655546097908E7
111,-3.6422646014440757E12,-5.650593358147122E11,1.4525870829553258E7
112,-3.6737323265601445E12,-5.698890369313837E11,1.4582085944124814E7
113,-3.705199980756531E12,-5.747187270404229E11,1.4638300892878398E7
114,-3.736667565232306E12,-5.795484063290046E11,1.4694515678797895E7
115,-3.7681350811563853E12,-5.843780749795688E11,1.4750730304788131E7
116,-3.799602529668528E12,-5.892077331699794E11,1.4806944773677636E7
117,-3.8310699118803013E12,-5.940373810736755E11,1.4863159088221285E7
118,-3.8625372288760024E12,-5.988670188598177E11,1.491937325110282E7
119,-3.8940044817135435E12,-6.036966466934272E11,1.4975587264937274E7
120,-3.925471671425299E12,-6.085262647355197E11,1.5031801132273287E7
121,-3.9569387990189233E12,-6.133558731432341E11,1.5088014855595328E7
122,-3.988405865478134E12,-6.181854720699567E11,1.5144228437325828E7
123,-4.0198728717634604E12,-6.230150616654384E11,1.5200441879827214E7
124,-4.051339818812972E12,-6.278446420759098E11,1.5256655185403878E7
125,-4.08280670754297E12,-6.326742134441903E11,1.5312868356304051E7
126,-4.1142735388486553E12,-6.375037759097933E11,1.536908139472161E7
127,-4.1457403136047734E12,-6.42333329609028E11,1.5425294302797807E7
128,-4.1772070326662324E12,-6.471628746750957E11,1.5481507082622936E7
129,-4.208673696868697E12,-6.519924112381847E11,1.553771973623793E7
130,-4.240140307029163E12,-6.5682193942556E11,1.5593932265635898E7
131,-4.2716068639465103E12,-6.616514593616503E11,1.5650144672763597E7
132,-4.303073368402032E12,-6.664809711681313E11,1.570635695952286E7
133,-4.334539821159949E12,-6.713104749640072E11,1.5762569127771951E7
134,-4.3660062229679023E12,-6.761399708656873E11,1.581878117932689E7
135,-4.397472574557431E12,-6.809694589870613E11,1.587499311596271E7
136,-4.42893887664443E12,-6.857989394395721E11,1.5931204939414682E7
137,-4.460405129929592E12,-6.906284123322847E11,1.5987416651379481E7
138,-4.491871335098838E12,-6.954578777719532E11,1.6043628253516322E7
139,-4.523337492823728E12,-7.002873358630865E11,1.609983974744805E7
140,-4.554803603761857E12,-7.051167867080101E11,1.6156051134762188E7
141,-4.586269668557244E12,-7.099462304069269E11,1.6212262417011954E7
142,-4.617735687840698E12,-7.14775667057975E11,1.6268473595717233E7
143,-4.649201662230182E12,-7.196050967572849E11,1.6324684672365524E7
144,-4.680667592331156E12,-7.244345195990331E11,1.6380895648412853E7
145,-4.712133478736913E12,-7.292639356754949E11,1.6437106525284648E7
146,-4.743599322028902E12,-7.340933450770956E11,1.6493317304376584E7
147,-4.775065122777045E12,-7.389227478924592E11,1.6549527987055408E7
148,-4.806530881540034E12,-7.437521442084562E11,1.6605738574659731E7
149,-4.837996598865629E12,-7.485815341102494E11,1.6661949068500789E7
150,-4.869462275290937E12,-7.534109176813385E11,1.6718159469863186E7
151,-4.900927911342689E12,-7.582402950036029E11,1.67743697800056E7
152,-4.932393507537509E12,-7.630696661573438E11,1.6830580000161484E7
153,-4.963859064382162E12,-7.67899031221324E11,1.688679013153973E7
154,-4.9953245823738125E12,-7.727283902728073E11,1.6943000175325304E7
155,-5.02679006200026E12,-7.77557743387596E11,1.69992101326799E7
156,-5.058255503740174E12,-7.823870906400679E11,1.70554200047425E7
157,-5.089720908063322E12,-7.872164321032115E11,1.7111629792630006E7
158,-5.121186275430787E12,-7.920457678486608E11,1.7167839497437775E7
159,-5.15265160629518E12,-7.968750979467277E11,1.7224049120240178E7
