day, x, y, z
0,6.33287311852789E11,-1.357175556995868E12,-2.13463704145366E9
1,6.335514261090273E11,-1.3566463040364324E12,-2.2169208364241657E9
2,6.337490032379556E11,-1.3562732038898076E12,-2.21190157484325E9
3,6.339492728361172E11,-1.356043766059285E12,-2.1329092161520622E9
4,6.342013419076805E11,-1.3559302040987625E12,-1.9991551089398415E9
5,6.345301102876835E11,-1.355895459960306E12,-1.8322200550755818E9
6,6.349388520762129E11,-1.3559050821395176E12,-1.65018853299656E9
7,6.354186410674636E11,-1.355934058053954E12,-1.4650651267779553E9
8,6.359567972256558E11,-1.3559669386319778E12,-1.2835511213091989E9
9,6.365412851568043E11,-1.3559951600589785E12,-1.1088628926491354E9
10,6.371621568419382E11,-1.356014393846053E12,-9.422414648904625E8
11,6.378116375488047E11,-1.3560227185273752E12,-7.839034812735647E8
12,6.384837741754039E11,-1.3560195204666118E12,-6.335727889244258E8
13,6.391740243404014E11,-1.3560048712286187E12,-4.907604741297449E8
14,6.398789053713318E11,-1.3559791840597E12,-3.5490699069150877E8
15,6.405957235885331E11,-1.355943026886535E12,-2.254516022956934E8
16,6.413223736806989E11,-1.3558970217554556E12,-1.0186424575976412E8
17,6.420571920860195E11,-1.3558417918494167E12,1.6341753981965438E7
18,6.427988500093834E11,-1.3557779346982576E12,1.2960652479116696E8
19,6.435462749921173E11,-1.3557060097893057E12,2.3832506867835167E8
20,6.442985929569789E11,-1.3556265340360496E12,3.4285069539287895E8
21,6.450550849755082E11,-1.355539981453401E12,4.434991587492819E8
22,6.458151546900938E11,-1.3554467849940007E12,5.40552846220307E8
23,6.465783035125093E11,-1.3553473394007893E12,6.342647182347239E8
24,6.473441115519092E11,-1.3552420044406277E12,7.24861873531214E8
25,6.481122228055865E11,-1.3551311081737957E12,8.125487086517988E8
26,6.488823335524514E11,-1.355014950079676E12,8.975096844789281E8
27,6.496541831759874E11,-1.3548938039530947E12,9.799117327042688E8
28,6.50427546847315E11,-1.3547679205387937E12,1.0599063421442798E9
29,6.512022296451693E11,-1.3546375299006682E12,1.1376313652964656E9
30,6.519780617953588E11,-1.3545028435377427E12,1.2132125829074762E9
31,6.527548947894802E11,-1.3543640562662183E12,1.2867650604330657E9
32,6.535325981995426E11,-1.3542213478897463E12,1.3583943260619059E9
33,6.543110570474087E11,-1.3540748846803801E12,1.4281973959212003E9
34,6.55090169619636E11,-1.3539248206916138E12,1.4962636683928654E9
35,6.558698456422249E11,-1.3537712989232334E12,1.5626757062177224E9
36,6.566500047480001E11,-1.3536144523557686E12,1.6275099222541385E9
37,6.574305751833313E11,-1.353454404870373E12,1.6908371823557255E9
38,6.582114927116973E11,-1.3532912720680981E12,1.7527233367952616E9
39,6.589926996800065E11,-1.3531251620008042E12,1.8132296899410222E9
40,6.597741442201653E11,-1.3529561758244158E12,1.8724134164413266E9
41,6.605557795635753E11,-1.3527844083838547E12,1.9303279309518452E9
42,6.613375634503525E11,-1.35260994873779E12,1.9870232174117916E9
43,6.621194576183444E11,-1.3524328806302915E12,2.0425461230084076E9
44,6.629014273596464E11,-1.3522532829155625E12,2.0969406212377687E9
45,6.636834411344445E11,-1.3520712299411428E12,2.150248047851749E9
46,6.64465470233723E11,-1.351886791894281E12,2.202507312957474E9
47,6.65247488483779E11,-1.3517000351155894E12,2.2537550920913405E9
48,6.660294719866245E11,-1.3515110223835818E12,2.3040259987118354E9
49,6.66811398891298E11,-1.3513198131732473E12,2.3533527402333326E9
50,6.675932491918828E11,-1.3511264638914336E12,2.4017662594478416E9
51,6.683750045486678E11,-1.350931028091476E12,2.449295862946002E9
